Player,Team,Salary,FG%,PPG,AST,TO,All Star,MIN,Games
"Kobe Bryant, SF",Los Angeles Lakers,30453805,0,0,0,0,1,0,0
"Dirk Nowitzki, PF",Dallas Mavericks,22721381,0.497,21.7,2.7,1.52,1,32.9,80
"Amar'e Stoudemire, PF",New York Knicks,21679893,0.557,11.9,0.5,1.4,2,22.6,65
"Joe Johnson, SF",Brooklyn Nets,21466718,0.454,15.8,0.1,1.53,1,32.6,79
"Carmelo Anthony, SF",New York Knicks,21388953,0.452,27.4,0.7,2.6,1,38.7,77
"Dwight Howard, C",Houston Rockets,20513178,0.591,18.3,1.8,3.2,1,33.7,71
"Pau Gasol, C",Los Angeles Lakers,19285850,0.48,17.4,1.5,2.4,2,31.4,60
"Chris Bosh, PF",Miami Heat,19067500,0.516,16.2,1.1,1.6,1,32,79
"LeBron James, SF",Miami Heat,19067500,0.567,27.1,6.4,3.4,1,37.7,77
"Dwyane Wade, SG",Miami Heat,18673000,0.545,19,4.7,2.9,1,32.9,54
"Chris Paul, PG",Los Angeles Clippers,18668431,0.467,19.1,10.7,2.5,1,35,62
"Deron Williams, PG",Brooklyn Nets,18466130,0.45,14.3,6.1,2.2,2,32.2,64
"Zach Randolph, PF",Memphis Grizzlies,18238333,0.467,17.4,2.5,2.3,2,34.2,79
"Rudy Gay, SF",Toronto Raptors,17888932,0.482,20.1,0.6,3.1,2,34.4,73
"Kevin Durant, SF",Oklahoma City Thunder,17832627,0.503,32,5.5,3.8,1,38.5,81
"Derrick Rose, PG",Chicago Bulls,17632688,0.354,15.9,4.3,3.4,2,31.1,10
"Blake Griffin, PF",Los Angeles Clippers,16441500,0.528,24.1,3.9,2.7,1,35.8,80
"Paul Pierce, SF",Brooklyn Nets,15333334,0.451,13.5,2.4,2,2,0.451,75
"Carlos Boozer, PF",Chicago Bulls,15300000,0.456,13.7,1.6,2,2,28.2,76
"LaMarcus Aldridge, PF",Portland Trail Blazers,14878000,0.458,23.2,2.6,1.8,1,36.2,69
"Marc Gasol, C",Memphis Grizzlies,14860523,0.473,14.6,3.6,1.9,2,33.4,59
"Russell Westbrook, PG",Oklahoma City Thunder,14693906,0.437,21.8,6.9,4,2,30.7,46
"Kevin Love, PF",Minnesota Timberwolves,14693906,0.457,26.1,4.4,2.5,1,36.3,77
"Emeka Okafor, C",Phoenix Suns,14487500,0,0,0,0,2,0,0
"Roy Hibbert, C",Indiana Pacers,14283844,0.439,10.8,1.1,1.7,1,29.7,81
"Eric Gordon, SG",New Orleans Pelicans,14283844,0.436,15.4,3.3,2.1,2,32.1,64
"Luol Deng, SF",Cleveland Cavaliers,14275000,0.417,14.3,2.5,1.8,2,33.8,63
"Tyson Chandler, C",New York Knicks,14100538,0.593,8.7,1.1,1.3,2,30.2,55
"Andrew Bogut, C",Golden State Warriors,14000000,0.627,7.3,1.7,1.5,2,26.4,67
"David Lee, PF",Golden State Warriors,13878000,0.523,18.2,2.1,2.2,2,33.2,69
